word,stem,predicted,correct
acha,ach,ach,True
niliacha,ach,ach,True
ninaacha,ach,ach,True
nimeacha,ach,ach,True
nitaacha,ach,ach,True
tuliacha,ach,ach,True
tunaacha,ach,ach,True
tumeacha,ach,ach,True
tutaacha,ach,ach,True
uliacha,ach,ach,True
unaacha,ach,ach,True
umeacha,ach,ach,True
utaacha,ach,ach,True
mliacha,ach,ach,True
mnaacha,ach,ach,True
mmeacha,ach,ach,True
mtaacha,ach,ach,True
aliacha,ach,ach,True
anaacha,ach,ach,True
ameacha,ach,ach,True
ataacha,ach,ach,True
waliacha,ach,ach,True
wanaacha,ach,ach,True
wameacha,ach,ach,True
wataacha,ach,ach,True
huacha,ach,ach,True
kuacha,ach,ach,True
kumuacha,ach,ach,True
kuwaacha,ach,ach,True
ningeacha,ach,ach,True
ungeacha,ach,ach,True
angeacha,ach,ach,True
tungeacha,ach,ach,True
mngeacha,ach,ach,True
wangeacha,ach,ach,True
ningaliacha,ach,ach,True
ungaliacha,ach,ach,True
angaliacha,ach,ach,True
tungaliacha,ach,ach,True
mngaliacha,ach,ach,True
wangaliacha,ach,ach,True
niliyeacha,ach,ach,True
uliyeacha,ach,ach,True
aliyeacha,ach,ach,True
tuliyeacha,ach,ach,True
mliyeacha,ach,ach,True
waliyeacha,ach,ach,True
nilioacha,ach,ach,True
ulioacha,ach,ach,True
alioacha,ach,ach,True
tulioacha,ach,ach,True
mlioacha,ach,ach,True
walioacha,ach,ach,True
nilipoacha,ach,ach,True
ulipoacha,ach,ach,True
alipoacha,ach,ach,True
tulipoacha,ach,ach,True
mlipoacha,ach,ach,True
walipoacha,ach,ach,True
nijapoacha,ach,ach,True
ujapoacha,ach,ach,True
ajapoacha,ach,ach,True
tujapoacha,ach,ach,True
mjapoacha,ach,ach,True
wajapoacha,ach,ach,True
nisipoacha,ach,ach,True
usipoacha,ach,ach,True
asipoacha,ach,ach,True
tusipoacha,ach,ach,True
msipoacha,ach,ach,True
wasipoacha,ach,ach,True
nikiacha,ach,ach,True
ukiacha,ach,ach,True
akiacha,ach,ach,True
tukiacha,ach,ach,True
mkiacha,ach,ach,True
niliyaacha,ach,ach,True
uliyaacha,ach,ach,True
aliyaacha,ach,ach,True
tuliyaacha,ach,ach,True
mliyaacha,ach,ach,True
waliyaacha,ach,ach,True
wakiacha,ach,ach,True
nilichoacha,ach,ach,True
ulichoacha,ach,ach,True
alichoacha,ach,ach,True
tulichoacha,ach,ach,True
mlichoacha,ach,ach,True
walichoacha,ach,ach,True
yalioacha,ach,ach,True
kilichoacha,ach,ach,True
zilizoacha,ach,ach,True
inaacha,ach,ach,True
itaacha,ach,ach,True
iliacha,ach,ach,True
imeacha,ach,ach,True
ingeacha,ach,ach,True
ingaliacha,ach,ach,True
iliyeacha,ach,ach,True
ilioacha,ach,ach,True
iliyoacha,ach,ach,True
ilipoacha,ach,ach,True
ikiacha,ach,ach,True
ilichoacha,ach,ach,True
